"reference","quantity","part_ipn","note","Datasheet","optional"
"C2,C3,C10","3","C_10uF_50V_1206_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/400/details",""
"C5,C6","2","C_100nF_100V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/389/details",""
"C9","1"," C_1uF_16V_0603_MLCC-X7R ","Unpolarized capacitor","http://inventree.network/part/227/",""
"C11","1","C_1uF_50V_0603_MLCC-X7R","Unpolarized capacitor","http://inventree.network/web/part/255/details",""
"J1,J2,J3,J4,J5,J6","6","15EDGRH-3.5-06P","","http://inventree.network/web/part/356/details",""
"J7","1","U254-051T-4BH83-S1S ","","http://inventree.network/part/136/",""
"JM1,JM2","2","AFA11-S20GLA-00","Slide Lock 20P Bottom Contact Surface Mount, Right Angle 1mm SMD,P=1mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","http://inventree.network/web/part/383/details",""
"PS1","1","B0503S-2W","","http://inventree.network/web/part/353/details",""
"Q1","1","2N7002K","","2N7002K",""
"R1","1","R_4k7_0603_1%","Resistor","http://inventree.network/part/262/",""
"R2,R3","2","R_3k3_0603_1%","Resistor","http://inventree.network/part/234/",""
"R21","1","R_100R_0603_1%","Resistor","http://inventree.network/part/223/",""
"RN1","1","R_10k_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/part/233/",""
"RN2","1","R_330R_0603x4_1%","4 resistor network, parallel topology, split","http://inventree.network/part/239/",""
"SP1","1","PMLED-10-v0.0.2","","",""
"SW1,SW2","2","TS-1088-AR02016 ","","http://inventree.network/part/139/",""
"U2","1","ESP32-C3-WROOM-02U-N4","","http://inventree.network/part/132/",""
"U3,U4","2","Keystone_5117","KEYSTONE - 5117 - TEST POINT, PCB, BLUE, THROUGH HOLE","http://inventree.network/part/282/",""
"U11","1","CA-IS3021G","","http://inventree.network/web/part/315/details",""
